epoch,supply,reserve_balance,participants,validators,raw_delta_c,effective_delta_c,reproduction_applied,state_hash
301,1774.50810674,0.0,100,5,17.72685052,1.45844382,0.36461096,6b23184d5c814e13174c70ff9ea48a2f310f1ea3ba1789647518d5dfd5a5e9a3
302,1776.33263199,0.0,100,5,17.74508107,1.4596202,0.36490505,53c4541c72d235043394bcd7dc4cb4ae42bce68d5d8cec323e98015069614d71
303,1778.15862808,0.0,100,5,17.76332632,1.46079687,0.36519922,25afa71d66ea763dc2dafdce053255c48a257f0c0278135210a645507ded2cb6
304,1779.98609536,0.0,100,5,17.78158628,1.46197382,0.36549346,d802361f1f7a75af8bf914237f771f3c964c63b03ae9afcf753642303aab37e6
305,1781.81503417,0.0,100,5,17.79986095,1.46315105,0.36578776,42c8c7ecd16d8d1f1643e672dd148669f5d3d28660a48608395e51f9e92f35f8
306,1783.64544486,0.0,100,5,17.81815034,1.46432855,0.36608214,7a66956648602299b118146f43c94216212a96caf1df35e2d7c1018b48f98411
307,1785.47732778,0.0,100,5,17.83645445,1.46550634,0.36637658,a732b655c8e33fa625e5dd9be4041694ee26e8061ef6632ccc7dcd6255dbf60c
308,1787.31068328,0.0,100,5,17.85477328,1.4666844,0.3666711,45a2bc411f3a7d4f41848a768157969c3787eb6cddd14b99f476e20b13a9418d
309,1789.1455117,0.0,100,5,17.87310683,1.46786274,0.36696568,b5bd82dbaf02211241ed8d095103facf92a954c92ee7da5e3f31eb9677fdd399
310,1790.98181339,0.0,100,5,17.89145512,1.46904135,0.36726034,72ca202e568191f2e48ee3675f3d696abb1f2121d3eb5f9ea1c264d81c0ded07
311,1792.81958868,0.0,100,5,17.90981813,1.47022023,0.36755506,f1ebb5b0f5bfea4cceee83e20a564b1d1d7ab0f3b63267a195c442f20217f08f
312,1794.65883791,0.0,100,5,17.92819589,1.47139938,0.36784985,7fecc4e6e3c69f639c2fbb31227c8585002283733b1274901de821df972d3244
313,1796.49956141,0.0,100,5,17.94658838,1.4725788,0.3681447,765e75a22e4c086edca0d7cf9519bc7b0816dee75b145179acd09c2a73a1a89b
314,1798.34175952,0.0,100,5,17.96499561,1.47375849,0.36843962,617e91222527dcb26f31e3c7141208602afb13aa3fa48299b2bc2e3813397fbb
315,1800.18543258,0.0,100,5,17.9834176,1.47493845,0.36873461,08f2262a528188e76d1bdefbdd5656cad9f3f5f4080912b9a0f97df277c86243
316,1802.03058092,0.0,100,5,18.00185433,1.47611867,0.36902967,6a0792551566617cb6e5b706dd6b79257de994911e6c7ad05f648fc8d4fb0fb0
317,1803.87720487,0.0,100,5,18.02030581,1.47729916,0.36932479,917c4c32c392f654f53e3b5d50b2c914217ee2c84387c9442d04d9bc73390f27
